Genus_species,Domain,Phylum,Class,Order,Family,Genus
Acaryochloris_marina,Bacteria,Cyanobacteria,Cyanobacteria,Synechococcales,Acaryochloridaceae,Acaryochloris
Acetobacter_aceti,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirrllales,Acetobacteraceae,Acetobacter
Acetobacter_ascendens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirrllales,Acetobacteraceae,Acetobacter
Acetobacter_orientalis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirrllales,Acetobacteraceae,Acetobacter
Acetobacter_oryzifermentans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirrllales,Acetobacteraceae,Acetobacter
Acetobacter_pasteurianus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirrllales,Acetobacteraceae,Acetobacter
Acetobacter_persici,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirrllales,Acetobacteraceae,Acetobacter
Acetobacter_pomorum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirrllales,Acetobacteraceae,Acetobacter
Acetobacter_senegalensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirrllales,Acetobacteraceae,Acetobacter
Acetobacter_sp,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirrllales,Acetobacteraceae,Acetobacter
Acetobacter_tropicalis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirrllales,Acetobacteraceae,Acetobacter
Acetobacterium_woodii,Bacteria,Firmicutes,Clostridia,Clostridales,Eubacteriaceae,Acetobacterium
Acetohalobium_arabaticum,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium
Acetomicrobium_mobile,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium
Acholeplasma_laidlawii,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
Acholeplasma_oculi,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
Achromobacter_denitrificans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
Achromobacter_insolitus,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
Achromobacter_sp,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
Achromobacter_spanius,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
Achromobacter_xylosoxidans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
Acidaminococcus_fermentans,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus
Acidaminococcus_intestini,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus
Acidianus_brierleyi,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus
Acidianus_hospitalis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus
Acidianus_sulfidivorans,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus
Acidiferrobacter_sp,Bacteria,Proteobacteria,Gammaproteobacteria,Acidifferobacterales,Acidiferrobacteraraceae,Acidiferrobacter
Acidihalobacter_prosperus,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter
Acidilobus_saccharovorans,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus
Acidilobus_sp,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus
Acidimicrobium_ferrooxidans,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium
Acidiphilium_cryptum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium
Acidiphilium_multivorum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium
Acidipropionibacterium_acidipropionici,Bacteria,Actinobacteria,Actinobacteria,Propionbacteriales,Propionibacteriaceae,Acidipropionibacterium
Acidipropionibacterium_jensenii,Bacteria,Actinobacteria,Actinobacteria,Propionbacteriales,Propionibacteriaceae,Acidipropionibacterium
Acidipropionibacterium_sp,Bacteria,Actinobacteria,Actinobacteria,Propionbacteriales,Propionibacteriaceae,Acidipropionibacterium
Acidisphaera_sp,Bacteria,Proteobacteria,Deltaproteobacteria,Rhodospiralleles,Acetobacteraceae,Acidisphaera
Acidithiobacillus_caldus,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus
Acidithiobacillus_ferridurans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus
Acidithiobacillus_ferrivorans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus
Acidithiobacillus_ferrooxidans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus
Acidobacteriaceae_bacterium,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium
Acidobacterium_capsulatum,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium
Acidothermus_cellulolyticus,Bacteria,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus
Acidovorax_avenae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Acidovorax_citrulli,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Acidovorax_ebreus,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Acidovorax_sp,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Aciduliprofundum_boonei,Archaea,Euryarchaeota,NA,NA,NA,Aciduliprofundum
Aciduliprofundum_sp,Archaea,Euryarchaeota,NA,NA,NA,Aciduliprofundum
Acinetobacter_baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_bereziniae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_calcoaceticus,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_defluvii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_equi,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_guillouiae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_haemolyticus,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_indicus,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_johnsonii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_junii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_lactucae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_larvae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_nosocomialis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_oleivorans,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_pittii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_radioresistens,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_soli,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_sp,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_ursingii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Acinetobacter_wuhouensis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Actinoalloteichus_hoggarensis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Actinoalloteichus
Actinoalloteichus_hymeniacidonis,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Actinoalloteichus
Actinoalloteichus_sp,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaecae,Actinoalloteichus
Actinobacillus_delphinicola,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
Actinobacillus_equuli,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
Actinobacillus_lignieresii,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
Actinobacillus_pleuropneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
Actinobacillus_porcitonsillarum,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
Actinobacillus_succinogenes,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
Actinobacillus_suis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
Actinobacteria_bacterium,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA
Actinobaculum_sp,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinbaculum
Actinomadura_amylolytica,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermonosporaceae,Actinomadura
Actinomyces_gaoshouyii,Bacteria,Actinobacteria,Actinobacteria,Actinomycteales,Actinomycetaceae,Actinomyces
Actinomyces_howellii,Bacteria,Actinobacteria,Actinobacteria,Actinomycteales,Actinomycetaceae,Actinomyces
Actinomyces_israelii,Bacteria,Actinobacteria,Actinobacteria,Actinomycteales,Actinomycetaceae,Actinomyces
Actinomyces_meyeri,Bacteria,Actinobacteria,Actinobacteria,Actinomycteales,Actinomycetaceae,Actinomyces
Actinomyces_oris,Bacteria,Actinobacteria,Actinobacteria,Actinomycteales,Actinomycetaceae,Actinomyces
Actinomyces_radicidentis,Bacteria,Actinobacteria,Actinobacteria,Actinomycteales,Actinomycetaceae,Actinomyces
Actinomyces_slackii,Bacteria,Actinobacteria,Actinobacteria,Actinomycteales,Actinomycetaceae,Actinomyces
Actinomyces_sp,Bacteria,Actinobacteria,Actinobacteria,Actinomycteales,Actinomycetaceae,Actinomyces
