accession,domain,family,genome_type,host,isolate,order,size,subfamily,subgenome_type,topology,virus
NC_043767,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,67324,,Rosebushvirus,circular,Mycobacterium virus TA17a
NC_043469,Viruses,Siphoviridae,Caudovirales,Enterobacter aerogenes,,,51543,,Webervirus,linear,Enterobacter virus F20
NC_043029,Viruses,,Inoviridae,Stenotrophomonas maltophilia str. Khak84,,,7648,,,circular,Stenotrophomonas phage phiSMA6
NC_043028,Viruses,,Inoviridae,Xanthomonas oryzae ATCC 35933,,,7190,,Xanthomonas virus Xf109,circular,Xanthomonas phage Xf109
NC_043027,Viruses,Myoviridae,Caudovirales,Bacillus subtilis,,,252197,,,linear,Bacillus virus PBS1
NC_031041,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52501,,unclassified Fromanvirus,linear,Mycobacterium phage Papez
NC_028941,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51161,,unclassified Fromanvirus,linear,Mycobacterium phage Turj99
NC_028874,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50614,,unclassified Fromanvirus,linear,Mycobacterium phage Pari
NC_028828,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52055,,unclassified Fromanvirus,linear,Mycobacterium phage TheloniousMonk
NC_028784,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51409,,unclassified Fromanvirus,linear,Mycobacterium phage Tasp14
NC_024368,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50610,,unclassified Fromanvirus,linear,Mycobacterium phage Pinto
NC_024143,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53255,,unclassified Fromanvirus,linear,Mycobacterium phage Lamina13
NC_024136,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51781,,unclassified Fromanvirus,linear,Mycobacterium phage Seabiscuit
NC_023862,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52136,,unclassified Fromanvirus,linear,Mycobacterium phage Alsfro
NC_023716,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53177,,Fromanvirus,linear,Mycobacterium virus Alma
NC_023702,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52379,,Fromanvirus,linear,Mycobacterium virus Kugel
NC_022975,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52390,,unclassified Fromanvirus,linear,Mycobacterium phage HanShotFirst
NC_022324,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegamtis mc2 155,,,53701,,unclassified Fromanvirus,linear,Mycobacterium phage SarFire
NC_009817,Viruses,Podoviridae,Caudovirales,Lactococcus lactis,,,79232,,,linear,Lactococcus virus KSY1
NC_023748,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53137,,Fromanvirus,linear,Mycobacterium phage SkiPole
NC_023710,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50844,,Fromanvirus,linear,Mycobacterium phage RidgeCB
NC_011267,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,49487,,Fromanvirus,linear,Mycobacterium phage Solon
NC_042564,Viruses,Siphoviridae,Caudovirales,Escherichia coli,,,14504,,Tequintavirus,linear,Escherichia virus BF23
NC_019524,Viruses,Siphoviridae,Caudovirales,Enterobacter cancerogenus,,,60496,,unclassified Chivirus,linear,Enterobacter phage Enc34
NC_042073,Viruses,Cystoviridae,Riboviria,Pseudomonas aeruginosa PAO1R,,,3004,,Cystovirus,linear,Pseudomonas phage phiYY
NC_042072,Viruses,Cystoviridae,Riboviria,Pseudomonas aeruginosa PAO1R,,,3862,,Cystovirus,linear,Pseudomonas phage phiYY
NC_042071,Viruses,Cystoviridae,Riboviria,Pseudomonas aeruginosa PAO1R,,,6648,,Cystovirus,linear,Pseudomonas phage phiYY
NC_031245,Viruses,Myoviridae,Caudovirales,Bacillus subtilis W-23-S(r); Bacillus licheniformis ATCC 9945a,,,221908,,Bacillus virus SP15,linear,Bacillus phage SP-15
NC_029091,Viruses,Myoviridae,Caudovirales,Escherichia coli,,,168771,,Escherichia virus APCEc01,linear,Escherichia phage APCEc01
NC_029080,Viruses,Herelleviridae,Caudovirales,Staphylococcus,,,142096,,unclassified Kayvirus,linear,Staphylococcus phage 812
NC_028967,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,,,29605,,unclassified Pahexavirus,linear,Propionibacterium phage PAC1
NC_028930,Viruses,Siphoviridae,Caudovirales,Paenibacillus larvae ATCC 9545,,,54439,,Paenibacillus virus Tripp,linear,Paenibacillus phage Tripp
NC_028863,Viruses,Podoviridae,Caudovirales,Escherichia coli DE69,,,40477,,Teseptimavirus,linear,Escherichia phage P694
NC_028822,Viruses,Podoviridae,Caudovirales,Escherichia coli DE48,,,40829,,Teseptimavirus,linear,Escherichia phage P483
NC_028789,Viruses,Podoviridae,Caudovirales,Bacillus cereus MYB41-22,,,18609,,unclassified Salasvirus,linear,Bacillus phage VMY22
NC_027360,Viruses,Myoviridae,Caudovirales,Salmonella enterica subsp. enterica,,,87603,,Felixounavirus,linear,Enterobacteriaphage UAB_Phi87
NC_025829,Viruses,Myoviridae,Caudovirales,Shigella sonnei ATCC 25931,,,164999,,Tequatrovirus,circular,Shigella phage pSs-1
NC_024381,Viruses,Siphoviridae,Caudovirales,Pseudomonas aeruginosa,,,43056,,Septimatrevirus,linear,Pseudomonas phage vB_PaeS_SCH_Ab26
NC_023550,Viruses,Podoviridae,Caudovirales,Staphylococcus aureus NRS382,,,17869,,unclassified Rosenblumvirus,linear,Staphylococcus phage GRCS
NC_017980,Viruses,Podoviridae,Caudovirales,Clostridium perfringens,phiCP24R,,18397,,unclassified Picovirinae,linear,Clostridium phage phiCP7R
NC_013693,Viruses,Ackermannviridae,Caudovirales,Shigella boydii,,,158006,,Agtrevirus,linear,Shigella phage Ag3
NC_013697,Viruses,Myoviridae,Caudovirales,Delftia acidovorans,,,157486,,Delftia virus PhiW14,linear,Delftia phage PhiW-14
